solarSystemID	planetID	planetName	planetTypeID	typeName	typeIconID
30000007	40000339	Yuzier IV	2015	Lava	10133
30000007	40000341	Yuzier V	13	Gas	10139
30000007	40000348	Yuzier VI	2017	Storm	10134
30000007	40000352	Yuzier VII	2016	Barren	10135
30000007	40000355	Yuzier VIII	13	Gas	10139
30000008	40000382	Nirbhi I	2016	Barren	10135
30000008	40000384	Nirbhi II	2016	Barren	10135
30000008	40000386	Nirbhi III	11	Temperate	10136
30000008	40000389	Nirbhi IV	11	Temperate	10136
30000008	40000391	Nirbhi V	13	Gas	10139
30000008	40000398	Nirbhi VI	13	Gas	10139
30000008	40000417	Nirbhi VII	13	Gas	10139
30000008	40000441	Nirbhi VIII	13	Gas	10139
30000008	40000462	Nirbhi IX	12	Ice	10137
30000008	40000468	Nirbhi X	12	Ice	10137
30000009	40000472	Sooma I	2016	Barren	10135
30000009	40000473	Sooma II	2016	Barren	10135
30000009	40000474	Sooma III	11	Temperate	10136
30000009	40000476	Sooma IV	11	Temperate	10136
30000009	40000478	Sooma V	11	Temperate	10136
30000009	40000481	Sooma VI	2016	Barren	10135
30000009	40000484	Sooma VII	13	Gas	10139
30000009	40000505	Sooma VIII	13	Gas	10139
30000009	40000516	Sooma IX	13	Gas	10139
30000009	40000527	Sooma X	12	Ice	10137
30000010	40000533	Chidah I	2016	Barren	10135
30000010	40000534	Chidah II	2016	Barren	10135
30000010	40000535	Chidah III	2016	Barren	10135
30000010	40000537	Chidah IV	2016	Barren	10135
30000010	40000540	Chidah V	13	Gas	10139
30000010	40000553	Chidah VI	2016	Barren	10135
30000010	40000555	Chidah VII	13	Gas	10139
30000010	40000570	Chidah VIII	13	Gas	10139
30000010	40000597	Chidah IX	2015	Lava	10133
30000010	40000599	Chidah X	2016	Barren	10135
30000011	40000605	Shenela I	2016	Barren	10135
30000011	40000607	Shenela II	2016	Barren	10135
30000011	40000608	Shenela III	2016	Barren	10135
30000011	40000611	Shenela IV	13	Gas	10139
30000011	40000632	Shenela V	11	Temperate	10136
30000011	40000635	Shenela VI	13	Gas	10139
30000012	40000663	Asabona I	2016	Barren	10135
30000012	40000665	Asabona II	2015	Lava	10133
30000012	40000667	Asabona III	11	Temperate	10136
30000012	40000670	Asabona IV	11	Temperate	10136
30000012	40000672	Asabona V	13	Gas	10139
30000012	40000679	Asabona VI	13	Gas	10139
30000012	40000686	Asabona VII	2017	Storm	10134
30000012	40000689	Asabona VIII	13	Gas	10139
30000012	40000715	Asabona IX	13	Gas	10139
30000012	40000741	Asabona X	13	Gas	10139
30000012	40000767	Asabona XI	2016	Barren	10135
30000013	40000770	Onsooh I	2063	Plasma	10138
30000013	40000772	Onsooh II	2015	Lava	10133
30000013	40000774	Onsooh III	2016	Barren	10135
30000013	40000776	Onsooh IV	11	Temperate	10136
30000013	40000779	Onsooh V	11	Temperate	10136
30000013	40000781	Onsooh VI	11	Temperate	10136
30000013	40000783	Onsooh VII	13	Gas	10139
30000013	40000799	Onsooh VIII	13	Gas	10139
30000013	40000824	Onsooh IX	12	Ice	10137
30000013	40000854	Onsooh X	2016	Barren	10135
30000014	40000861	Shamahi I	2016	Barren	10135
30000014	40000862	Shamahi II	2015	Lava	10133
30000014	40000864	Shamahi III	2015	Lava	10133
30000014	40000866	Shamahi IV	2016	Barren	10135
30000014	40000868	Shamahi V	2015	Lava	10133
30000014	40000869	Shamahi VI	13	Gas	10139
30000014	40000888	Shamahi VII	13	Gas	10139
30000014	40000908	Shamahi VIII	2017	Storm	10134
30000014	40000916	Shamahi IX	12	Ice	10137
30000014	40000940	Shamahi X	2016	Barren	10135
30000015	40000942	Sendaya I	2015	Lava	10133
30000015	40000943	Sendaya II	2016	Barren	10135
30000015	40000945	Sendaya III	2016	Barren	10135
30000015	40000947	Sendaya IV	2017	Storm	10134
30000015	40000949	Sendaya V	11	Temperate	10136
30000015	40000953	Sendaya VI	13	Gas	10139
30000015	40000966	Sendaya VII	13	Gas	10139
30000015	40000989	Sendaya VIII	2016	Barren	10135
30000015	40000993	Sendaya IX	2016	Barren	10135
30000016	40001000	Nazhgete I	2016	Barren	10135
30000016	40001002	Nazhgete II	2016	Barren	10135
30000016	40001004	Nazhgete III	11	Temperate	10136
30000016	40001006	Nazhgete IV	2017	Storm	10134
30000016	40001009	Nazhgete V	13	Gas	10139
30000016	40001012	Nazhgete VI	11	Temperate	10136
30000016	40001013	Nazhgete VII	13	Gas	10139
30000016	40001036	Nazhgete VIII	13	Gas	10139
30000016	40001060	Nazhgete IX	13	Gas	10139
30000016	40001076	Nazhgete X	12	Ice	10137
30000017	40001096	Futzchag I	2016	Barren	10135
30000017	40001097	Futzchag II	2016	Barren	10135
30000017	40001099	Futzchag III	2017	Storm	10134
30000017	40001101	Futzchag IV	2015	Lava	10133
30000017	40001103	Futzchag V	13	Gas	10139
30000017	40001124	Futzchag VI	2015	Lava	10133
30000017	40001126	Futzchag VII	11	Temperate	10136
30000017	40001128	Futzchag VIII	13	Gas	10139
30000017	40001154	Futzchag IX	13	Gas	10139
30000017	40001176	Futzchag X	13	Gas	10139
30000017	40001181	Futzchag XI	2017	Storm	10134
30000018	40001183	Kazna I	2017	Storm	10134
30000018	40001184	Kazna II	2015	Lava	10133
30000018	40001186	Kazna III	13	Gas	10139
30000018	40001200	Kazna IV	2014	Oceanic	10142
30000018	40001203	Kazna V	13	Gas	10139
30000018	40001224	Kazna VI	13	Gas	10139
30000018	40001246	Kazna VII	12	Ice	10137
30000019	40001266	Podion I	2015	Lava	10133
30000019	40001267	Podion II	2016	Barren	10135
30000019	40001269	Podion III	2014	Oceanic	10142
30000019	40001270	Podion IV	2016	Barren	10135
30000019	40001272	Podion V	13	Gas	10139
30000019	40001281	Podion VI	13	Gas	10139
30000019	40001292	Podion VII	13	Gas	10139
30000019	40001316	Podion VIII	13	Gas	10139
30000019	40001340	Podion IX	2016	Barren	10135
30000020	40001345	Lilmad I	2017	Storm	10134
30000020	40001347	Lilmad II	2063	Plasma	10138
30000020	40001349	Lilmad III	2015	Lava	10133
30000020	40001351	Lilmad IV	13	Gas	10139
30000020	40001367	Lilmad V	13	Gas	10139
30000020	40001382	Lilmad VI	11	Temperate	10136
30000020	40001385	Lilmad VII	13	Gas	10139
30000020	40001411	Lilmad VIII	12	Ice	10137
30000021	40001415	Kuharah I	2016	Barren	10135
30000021	40001417	Kuharah II	2017	Storm	10134
30000021	40001419	Kuharah III	2063	Plasma	10138
30000021	40001424	Kuharah IV	13	Gas	10139
30000021	40001444	Kuharah V	13	Gas	10139
30000021	40001463	Kuharah VI	13	Gas	10139
30000021	40001492	Kuharah VII	2014	Oceanic	10142
30000021	40001495	Kuharah VIII	12	Ice	10137
30000022	40001499	Jayneleb I	2015	Lava	10133
30000022	40001501	Jayneleb II	2016	Barren	10135
30000022	40001503	Jayneleb III	13	Gas	10139
30000022	40001519	Jayneleb IV	13	Gas	10139
30000022	40001526	Jayneleb V	13	Gas	10139
30000022	40001550	Jayneleb VI	13	Gas	10139
30000022	40001572	Jayneleb VII	2014	Oceanic	10142
30000022	40001575	Jayneleb VIII	2017	Storm	10134
30000022	40001578	Jayneleb IX	2016	Barren	10135
30000023	40001582	Fovihi I	2016	Barren	10135
30000023	40001584	Fovihi II	2017	Storm	10134
30000023	40001586	Fovihi III	2063	Plasma	10138
30000023	40001589	Fovihi IV	13	Gas	10139
30000023	40001593	Fovihi V	13	Gas	10139
30000023	40001614	Fovihi VI	13	Gas	10139
30000023	40001639	Fovihi VII	13	Gas	10139
30000024	40001645	Kiereend I	2016	Barren	10135
30000024	40001647	Kiereend II	2016	Barren	10135
30000024	40001648	Kiereend III	2063	Plasma	10138
30000024	40001650	Kiereend IV	2016	Barren	10135
30000024	40001652	Kiereend V	11	Temperate	10136
30000024	40001655	Kiereend VI	2017	Storm	10134
30000024	40001660	Kiereend VII	13	Gas	10139
30000024	40001690	Kiereend VIII	13	Gas	10139
30000025	40001713	Rashy I	2016	Barren	10135
30000025	40001715	Rashy II	11	Temperate	10136
30000025	40001717	Rashy III	13	Gas	10139
30000025	40001732	Rashy IV	13	Gas	10139
30000025	40001754	Rashy V	13	Gas	10139
30000025	40001779	Rashy VI	2063	Plasma	10138
30000026	40001785	Ordize I	2015	Lava	10133
30000026	40001786	Ordize II	11	Temperate	10136
30000026	40001789	Ordize III	13	Gas	10139
30000026	40001809	Ordize IV	13	Gas	10139
30000026	40001815	Ordize V	12	Ice	10137
30000026	40001825	Ordize VI	2014	Oceanic	10142
30000026	40001829	Ordize VII	12	Ice	10137
30000027	40001834	Psasa I	13	Gas	10139
30000027	40001850	Psasa II	13	Gas	10139
30000027	40001867	Psasa III	12	Ice	10137
30000028	40001892	Eshtah I	2015	Lava	10133
30000028	40001894	Eshtah II	11	Temperate	10136
30000028	40001896	Eshtah III	2017	Storm	10134
30000028	40001899	Eshtah IV	2016	Barren	10135
30000028	40001903	Eshtah V	13	Gas	10139
30000028	40001907	Eshtah VI	11	Temperate	10136
30000028	40001910	Eshtah VII	13	Gas	10139
30000028	40001927	Eshtah VIII	13	Gas	10139
30000028	40001957	Eshtah IX	13	Gas	10139
30000028	40001981	Eshtah X	2017	Storm	10134
30000029	40001985	Lachailes I	2016	Barren	10135
30000029	40001986	Lachailes II	2016	Barren	10135
30000029	40001988	Lachailes III	2016	Barren	10135
30000029	40001991	Lachailes IV	11	Temperate	10136
30000029	40001994	Lachailes V	13	Gas	10139
30000029	40002012	Lachailes VI	13	Gas	10139
30000030	40002038	Kasrasi I	2016	Barren	10135
30000030	40002040	Kasrasi II	2015	Lava	10133
30000030	40002041	Kasrasi III	2016	Barren	10135
30000030	40002043	Kasrasi IV	2016	Barren	10135
30000030	40002045	Kasrasi V	2016	Barren	10135
30000030	40002047	Kasrasi VI	13	Gas	10139
30000030	40002053	Kasrasi VII	2017	Storm	10134
30000030	40002056	Kasrasi VIII	13	Gas	10139
30000030	40002068	Kasrasi IX	13	Gas	10139
30000030	40002076	Kasrasi X	13	Gas	10139
30000031	40002088	Mohas I	2015	Lava	10133
30000031	40002089	Mohas II	2015	Lava	10133
30000031	40002091	Mohas III	11	Temperate	10136
30000031	40002093	Mohas IV	2015	Lava	10133
30000031	40002096	Mohas V	2016	Barren	10135
30000031	40002098	Mohas VI	2016	Barren	10135
30000031	40002101	Mohas VII	11	Temperate	10136
30000031	40002104	Mohas VIII	13	Gas	10139
30000031	40002123	Mohas IX	13	Gas	10139
30000032	40002133	Hasiari I	2016	Barren	10135
30000032	40002134	Hasiari II	2015	Lava	10133
30000032	40002136	Hasiari III	2016	Barren	10135
30000032	40002138	Hasiari IV	2016	Barren	10135
30000032	40002139	Hasiari V	11	Temperate	10136
30000032	40002141	Hasiari VI	2016	Barren	10135
30000032	40002144	Hasiari VII	13	Gas	10139
30000032	40002151	Hasiari VIII	13	Gas	10139
30000032	40002156	Hasiari IX	2016	Barren	10135
30000033	40002158	Radima I	2016	Barren	10135
30000033	40002159	Radima II	2016	Barren	10135
30000033	40002162	Radima III	2016	Barren	10135
30000033	40002164	Radima IV	2016	Barren	10135
30000033	40002165	Radima V	2015	Lava	10133
30000033	40002167	Radima VI	13	Gas	10139
30000033	40002171	Radima VII	2016	Barren	10135
30000033	40002173	Radima VIII	2016	Barren	10135
30000033	40002176	Radima IX	13	Gas	10139
30000033	40002183	Radima X	13	Gas	10139
30000033	40002202	Radima XI	13	Gas	10139
30000033	40002236	Radima XII	2016	Barren	10135
30000034	40002243	Alkez I	2015	Lava	10133
30000034	40002245	Alkez II	2016	Barren	10135
30000034	40002246	Alkez III	2016	Barren	10135
30000034	40002248	Alkez IV	13	Gas	10139
30000034	40002252	Alkez V	2017	Storm	10134
30000034	40002257	Alkez VI	2016	Barren	10135
30000034	40002261	Alkez VII	13	Gas	10139
30000034	40002282	Alkez VIII	12	Ice	10137
30000035	40002288	Nimambal I	2016	Barren	10135
30000035	40002289	Nimambal II	2015	Lava	10133
30000035	40002290	Nimambal III	2016	Barren	10135
30000035	40002291	Nimambal IV	2063	Plasma	10138
30000035	40002292	Nimambal V	2016	Barren	10135
30000035	40002295	Nimambal VI	13	Gas	10139
30000035	40002299	Nimambal VII	13	Gas	10139
30000035	40002323	Nimambal VIII	13	Gas	10139
30000035	40002328	Nimambal IX	13	Gas	10139
30000035	40002336	Nimambal X	2017	Storm	10134
30000036	40002341	Yishinoon I	2017	Storm	10134
30000036	40002343	Yishinoon II	11	Temperate	10136
30000036	40002345	Yishinoon III	2015	Lava	10133
30000036	40002348	Yishinoon IV	13	Gas	10139
30000036	40002364	Yishinoon V	13	Gas	10139
30000036	40002382	Yishinoon VI	13	Gas	10139
30000036	40002412	Yishinoon VII	2016	Barren	10135
30000037	40002418	Uplingur I	2016	Barren	10135
30000037	40002420	Uplingur II	13	Gas	10139
30000037	40002426	Uplingur III	13	Gas	10139
30000037	40002444	Uplingur IV (Ndoria)	12	Ice	10137
30000038	40002478	Dooz I	2016	Barren	10135
30000038	40002479	Dooz II	2016	Barren	10135
30000038	40002480	Dooz III	2015	Lava	10133
30000038	40002482	Dooz IV	11	Temperate	10136
30000038	40002486	Dooz V	13	Gas	10139
30000038	40002511	Dooz VI	2014	Oceanic	10142
30000039	40002515	Bayuka I	2015	Lava	10133
30000039	40002516	Bayuka II	2016	Barren	10135
30000039	40002518	Bayuka III	2015	Lava	10133
30000039	40002520	Bayuka IV	2016	Barren	10135
30000039	40002522	Bayuka V	13	Gas	10139
30000039	40002552	Bayuka VI	13	Gas	10139
30000039	40002574	Bayuka VII	13	Gas	10139
30000039	40002593	Bayuka VIII	2017	Storm	10134
30000039	40002597	Bayuka IX	2016	Barren	10135
30000039	40002601	Bayuka X	12	Ice	10137
30000040	40002612	Uzistoon I	2016	Barren	10135
30000040	40002613	Uzistoon II	2015	Lava	10133
30000040	40002614	Uzistoon III	2016	Barren	10135
30000040	40002615	Uzistoon IV	11	Temperate	10136
30000040	40002617	Uzistoon V	11	Temperate	10136
30000040	40002619	Uzistoon VI	13	Gas	10139
30000040	40002635	Uzistoon VII	13	Gas	10139
30000040	40002659	Uzistoon VIII	2014	Oceanic	10142
30000041	40002666	Bairshir I	2016	Barren	10135
30000041	40002667	Bairshir II	2016	Barren	10135
30000041	40002669	Bairshir III	13	Gas	10139
30000041	40002674	Bairshir IV	13	Gas	10139
30000041	40002687	Bairshir V	13	Gas	10139
30000041	40002714	Bairshir VI	12	Ice	10137
30000042	40002725	Moh I	2015	Lava	10133
30000042	40002727	Moh II	2016	Barren	10135
30000042	40002728	Moh III	2015	Lava	10133
30000042	40002730	Moh IV	2014	Oceanic	10142
30000042	40002734	Moh V	13	Gas	10139
30000042	40002746	Moh VI	2016	Barren	10135
30000042	40002752	Moh VII	2017	Storm	10134
30000043	40002759	Sari I	2015	Lava	10133
30000043	40002760	Sari II	2015	Lava	10133
30000043	40002761	Sari III	2016	Barren	10135
30000043	40002763	Sari IV	11	Temperate	10136
30000043	40002767	Sari V	13	Gas	10139
30000043	40002784	Sari VI	13	Gas	10139
30000043	40002814	Sari VII	11	Temperate	10136
30000043	40002818	Sari VIII	2016	Barren	10135
30000043	40002822	Sari IX	12	Ice	10137
30000044	40002838	Faspera I	2015	Lava	10133
30000044	40002839	Faspera II	2016	Barren	10135
30000044	40002840	Faspera III	2014	Oceanic	10142
30000044	40002841	Faspera IV	2015	Lava	10133
30000044	40002845	Faspera V	2016	Barren	10135
30000044	40002847	Faspera VI	2016	Barren	10135
30000044	40002851	Faspera VII	2014	Oceanic	10142
30000044	40002853	Faspera VIII	2017	Storm	10134
30000045	40002858	Jaymass I	2016	Barren	10135
30000045	40002860	Jaymass II	2017	Storm	10134
30000045	40002862	Jaymass III	2014	Oceanic	10142
30000045	40002864	Jaymass IV	13	Gas	10139
30000045	40002868	Jaymass V	13	Gas	10139
30000045	40002888	Jaymass VI	13	Gas	10139
30000045	40002917	Jaymass VII	2014	Oceanic	10142
30000046	40002920	Mifrata I	2016	Barren	10135
30000046	40002921	Mifrata II	2063	Plasma	10138
30000046	40002922	Mifrata III	2017	Storm	10134
30000046	40002925	Mifrata IV	13	Gas	10139
30000046	40002942	Mifrata V	13	Gas	10139
30000046	40002968	Mifrata VI	12	Ice	10137
30000046	40002974	Mifrata VII	2014	Oceanic	10142
30000047	40002980	Majamar I	2063	Plasma	10138
30000047	40002982	Majamar II	2015	Lava	10133
30000047	40002984	Majamar III	2017	Storm	10134
30000047	40002987	Majamar IV	2017	Storm	10134
30000047	40002990	Majamar V	2017	Storm	10134
30000047	40002993	Majamar VI	13	Gas	10139
30000047	40003012	Majamar VII	13	Gas	10139
30000047	40003033	Majamar VIII	12	Ice	10137
30000047	40003049	Majamar IX	12	Ice	10137
30000047	40003055	Majamar X	2016	Barren	10135
30000048	40003060	Ihal I	2015	Lava	10133
30000048	40003062	Ihal II	2015	Lava	10133
30000048	40003064	Ihal III	13	Gas	10139
30000048	40003069	Ihal IV	2017	Storm	10134
30000048	40003073	Ihal V	13	Gas	10139
30000048	40003086	Ihal VI	13	Gas	10139
30000048	40003108	Ihal VII	13	Gas	10139
30000048	40003128	Ihal VIII	13	Gas	10139
30000048	40003147	Ihal IX	2016	Barren	10135
30000048	40003152	Ihal X	2017	Storm	10134
30000049	40003158	Camal I	2015	Lava	10133
30000049	40003159	Camal II	2016	Barren	10135
30000049	40003161	Camal III	2014	Oceanic	10142
30000049	40003163	Camal IV	11	Temperate	10136
30000049	40003166	Camal V	2016	Barren	10135
30000049	40003168	Camal VI	13	Gas	10139
30000049	40003172	Camal VII	13	Gas	10139
30000049	40003179	Camal VIII	2016	Barren	10135
30000049	40003182	Camal IX	11	Temperate	10136
30000050	40003187	Fera I	2016	Barren	10135
30000050	40003188	Fera II	2063	Plasma	10138
30000050	40003190	Fera III	2017	Storm	10134
30000050	40003193	Fera IV	2017	Storm	10134
30000051	40003197	Juddi I	2016	Barren	10135
30000051	40003200	Juddi II	2016	Barren	10135
30000051	40003201	Juddi III	2015	Lava	10133
30000051	40003203	Juddi IV	2017	Storm	10134
30000051	40003205	Juddi V	2016	Barren	10135
30000051	40003206	Juddi VI	11	Temperate	10136
30000051	40003209	Juddi VII	13	Gas	10139
30000051	40003228	Juddi VIII	13	Gas	10139
30000051	40003239	Juddi IX	13	Gas	10139
30000051	40003261	Juddi X	13	Gas	10139
30000051	40003267	Juddi XI	2016	Barren	10135
30000052	40003271	Maspah I	2063	Plasma	10138
30000052	40003272	Maspah II	2016	Barren	10135
30000052	40003274	Maspah III	11	Temperate	10136
30000052	40003276	Maspah IV	13	Gas	10139
30000052	40003284	Maspah V	13	Gas	10139
30000052	40003303	Maspah VI	13	Gas	10139
30000052	40003330	Maspah VII	2016	Barren	10135
30000053	40003336	Ibaria I	2016	Barren	10135
30000053	40003339	Ibaria II	2014	Oceanic	10142
30000053	40003341	Ibaria III	2015	Lava	10133
30000053	40003344	Ibaria IV	11	Temperate	10136
30000054	40003348	Shala I	2015	Lava	10133
30000054	40003349	Shala II	2017	Storm	10134
30000054	40003353	Shala III	13	Gas	10139
30000054	40003367	Shala IV	13	Gas	10139
30000054	40003372	Shala V	13	Gas	10139
30000054	40003379	Shala VI	2016	Barren	10135
30000054	40003382	Shala VII	2017	Storm	10134
30000054	40003386	Shala VIII	2014	Oceanic	10142
30000055	40003392	Zemalu I	2015	Lava	10133
30000055	40003393	Zemalu II	2015	Lava	10133
30000055	40003395	Zemalu III	2016	Barren	10135
30000055	40003397	Zemalu IV	2016	Barren	10135
30000055	40003400	Zemalu V	2014	Oceanic	10142
30000055	40003402	Zemalu VI	2016	Barren	10135
30000055	40003406	Zemalu VII	2016	Barren	10135
30000055	40003409	Zemalu VIII	13	Gas	10139
30000055	40003415	Zemalu IX	11	Temperate	10136
30000056	40003420	Khankenirdia I	2017	Storm	10134
30000056	40003423	Khankenirdia II	11	Temperate	10136
30000056	40003425	Khankenirdia III	13	Gas	10139
30000056	40003428	Khankenirdia IV	11	Temperate	10136
30000056	40003431	Khankenirdia V	13	Gas	10139
30000056	40003451	Khankenirdia VI	2016	Barren	10135
30000056	40003455	Khankenirdia VII	2016	Barren	10135
30000056	40003457	Khankenirdia VIII	12	Ice	10137
30000056	40003466	Khankenirdia IX	2016	Barren	10135
30000056	40003469	Khankenirdia X	2015	Lava	10133
30000057	40003474	Nikh I	2016	Barren	10135
30000057	40003476	Nikh II	2017	Storm	10134
30000057	40003478	Nikh III	11	Temperate	10136
30000057	40003480	Nikh IV	13	Gas	10139
30000057	40003485	Nikh V	13	Gas	10139
30000057	40003504	Nikh VI	13	Gas	10139
30000057	40003530	Nikh VII	12	Ice	10137
30000057	40003537	Nikh VIII	12	Ice	10137
30000058	40003543	Amphar I	2016	Barren	10135
30000058	40003544	Amphar II	2016	Barren	10135
30000058	40003546	Amphar III	2016	Barren	10135
30000058	40003548	Amphar IV	2017	Storm	10134
30000058	40003553	Amphar V	2017	Storm	10134
30000058	40003556	Amphar VI	13	Gas	10139
30000058	40003563	Amphar VII	13	Gas	10139
30000058	40003568	Amphar VIII	13	Gas	10139
30000058	40003594	Amphar IX	13	Gas	10139
30000059	40003621	Salashayama I	2016	Barren	10135
30000059	40003622	Salashayama II	2016	Barren	10135
30000059	40003624	Salashayama III	2016	Barren	10135
30000059	40003626	Salashayama IV	2017	Storm	10134
30000059	40003628	Salashayama V	2016	Barren	10135
30000059	40003632	Salashayama VI	13	Gas	10139
30000059	40003637	Salashayama VII	13	Gas	10139
30000059	40003650	Salashayama VIII	13	Gas	10139
30000060	40003660	Janus I	2015	Lava	10133
30000060	40003662	Janus II	2016	Barren	10135
30000060	40003664	Janus III	2016	Barren	10135
30000060	40003667	Janus IV	2016	Barren	10135
30000060	40003670	Janus V	2014	Oceanic	10142
30000060	40003671	Janus VI	2015	Lava	10133
30000060	40003675	Janus VII	13	Gas	10139
30000060	40003683	Janus VIII	13	Gas	10139
30000060	40003687	Janus IX	13	Gas	10139
30000060	40003703	Janus X	2063	Plasma	10138
30000061	40003708	Agha I	2016	Barren	10135
30000061	40003709	Agha II	2016	Barren	10135
30000061	40003710	Agha III	2016	Barren	10135
30000061	40003712	Agha IV	2016	Barren	10135
30000061	40003715	Agha V	11	Temperate	10136
30000061	40003717	Agha VI	11	Temperate	10136
30000061	40003720	Agha VII	13	Gas	10139
30000061	40003731	Agha VIII	13	Gas	10139
30000061	40003755	Agha IX	13	Gas	10139
30000061	40003781	Agha X	13	Gas	10139
30000062	40003808	Iosantin I	2015	Lava	10133
30000062	40003810	Iosantin II	2016	Barren	10135
30000062	40003812	Iosantin III	2016	Barren	10135
30000062	40003813	Iosantin IV	2017	Storm	10134
30000062	40003815	Iosantin V	13	Gas	10139
30000062	40003818	Iosantin VI	11	Temperate	10136
30000062	40003821	Iosantin VII	13	Gas	10139
30000062	40003839	Iosantin VIII	13	Gas	10139
30000063	40003867	Orva I	2016	Barren	10135
30000063	40003869	Orva II	2016	Barren	10135
30000063	40003871	Orva III	11	Temperate	10136
30000063	40003873	Orva IV	2015	Lava	10133
30000063	40003876	Orva V	13	Gas	10139
30000063	40003895	Orva VI	13	Gas	10139
30000063	40003909	Orva VII	13	Gas	10139
30000063	40003932	Orva VIII	13	Gas	10139
30000063	40003942	Orva IX	12	Ice	10137
30000063	40003946	Orva X	2017	Storm	10134
30000064	40003951	Zet I	2016	Barren	10135
30000064	40003953	Zet II	2016	Barren	10135
30000064	40003955	Zet III	13	Gas	10139
30000064	40003974	Zet IV	13	Gas	10139
30000064	40003995	Zet V	2015	Lava	10133
30000064	40003999	Zet VI	2016	Barren	10135
30000064	40004003	Zet VII	13	Gas	10139
30000064	40004030	Zet VIII	2016	Barren	10135
30000065	40004036	Akhrad I	2015	Lava	10133
30000065	40004037	Akhrad II	2016	Barren	10135
30000065	40004039	Akhrad III	2063	Plasma	10138
30000065	40004041	Akhrad IV	2015	Lava	10133
30000065	40004043	Akhrad V	11	Temperate	10136
30000065	40004045	Akhrad VI	2016	Barren	10135
30000065	40004048	Akhrad VII	13	Gas	10139
30000065	40004067	Akhrad VIII	13	Gas	10139
30000065	40004093	Akhrad IX	13	Gas	10139
30000065	40004101	Akhrad X	13	Gas	10139
30000065	40004114	Akhrad XI	2014	Oceanic	10142
30000065	40004119	Akhrad XII	2014	Oceanic	10142
30000066	40004123	Pirohdim I	13	Gas	10139
30000066	40004133	Pirohdim II	13	Gas	10139
30000066	40004145	Pirohdim III	13	Gas	10139
30000066	40004164	Pirohdim IV	13	Gas	10139
30000066	40004189	Pirohdim V	13	Gas	10139
30000066	40004210	Pirohdim VI	2016	Barren	10135
30000066	40004214	Pirohdim VII	2016	Barren	10135
30000066	40004218	Pirohdim VIII	2016	Barren	10135
30000067	40004221	Sharir I	2016	Barren	10135
30000067	40004222	Sharir II	2016	Barren	10135
30000067	40004223	Sharir III	2015	Lava	10133
30000067	40004225	Sharir IV	2016	Barren	10135
30000067	40004227	Sharir V	11	Temperate	10136
30000067	40004231	Sharir VI	11	Temperate	10136
30000067	40004234	Sharir VII	13	Gas	10139
30000067	40004249	Sharir VIII	13	Gas	10139
30000067	40004260	Sharir IX	13	Gas	10139
30000067	40004282	Sharir X	2014	Oceanic	10142
30000068	40004286	Usroh I	2015	Lava	10133
30000068	40004288	Usroh II	2016	Barren	10135
30000068	40004289	Usroh III	2016	Barren	10135
30000068	40004291	Usroh IV	2015	Lava	10133
